+-------------------+----------+-------------+---------------------------+--------------+---------------+-----------+------------+-----------------------+
| id_periodo        | ticker   | flag_subida | d                         | fecha_inicio | precio_inicio | fecha_fin | precio_fin | diferencia_porcentaje |
| 20130603-20150202 | ALB.MC   |           1 | bonanza_1315              |     20130603 |       36.4900 |  20150202 |    42.7000 |          17.018361195 |
| 20130603-20150202 | EEP.MC   |           1 | bonanza_1315              |     20130603 |        0.4200 |  20150202 |     0.4900 |          16.666666667 |
| 20130603-20150202 | PSG.MC   |           1 | bonanza_1315              |     20130603 |        4.2500 |  20150202 |     4.9200 |          15.764705882 |
| 20130603-20150202 | FDR.MC   |           1 | bonanza_1315              |     20130603 |        2.5500 |  20150202 |     2.9450 |          15.490196078 |
| 20130603-20150202 | XEKT.MC  |           1 | bonanza_1315              |     20130603 |       28.7600 |  20150202 |    33.0650 |          14.968706537 |
| 20130603-20150202 | LEM.MC   |           1 | bonanza_1315              |     20130603 |        7.7100 |  20150202 |     8.8600 |          14.915693904 |
| 20130603-20150202 | RLIA.MC  |           1 | bonanza_1315              |     20130603 |        0.6194 |  20150202 |     0.7079 |          14.288020665 |
| 20130603-20150202 | TUB.MC   |           1 | bonanza_1315              |     20130603 |        2.4200 |  20150202 |     2.6750 |          10.537190083 |
| 20150803-20160201 | COL.MC   |           0 | crisis_15                 |     20150803 |        0.6830 |  20160201 |     6.0900 |         791.654465593 |
| 20150803-20160201 | ZNK.MC   |           0 | crisis_15                 |     20150803 |        0.4389 |  20160201 |     0.6217 |          41.649578492 |
| 20150803-20160201 | EBI.MC   |           0 | crisis_15                 |     20150803 |        1.7994 |  20160201 |     2.5035 |          39.129709903 |
| 20150803-20160201 | AZK.MC   |           0 | crisis_15                 |     20150803 |        3.3200 |  20160201 |     4.2700 |          28.614457831 |
| 20150803-20160201 | ALC.MC   |           0 | crisis_15                 |     20150803 |       10.0000 |  20160201 |    12.6200 |          26.200000000 |
| 20150803-20160201 | DXSD2.MC |           0 | crisis_15                 |     20150803 |        6.3300 |  20160201 |     7.7500 |          22.432859400 |
| 20150803-20160201 | INVEX.MC |           0 | crisis_15                 |     20150803 |       27.7900 |  20160201 |    33.8100 |          21.662468514 |
| 20150803-20160201 | INC.MC   |           0 | crisis_15                 |     20150803 |        1.6160 |  20160201 |     1.8854 |          16.670792079 |
| 20150803-20160201 | RLIA.MC  |           0 | crisis_15                 |     20150803 |        0.7128 |  20160201 |     0.8259 |          15.867003367 |
| 20150803-20160201 | EWT.MC   |           0 | crisis_15                 |     20150803 |        2.5800 |  20160201 |     2.8900 |          12.015503876 |
| 20150803-20160201 | ECG.MC   |           0 | crisis_15                 |     20150803 |        1.7570 |  20160201 |     1.9655 |          11.866818441 |
| 20160701-20170502 | DGI.MC   |           1 | bonanza_1617              |     20160701 |        0.8520 |  20170502 |     4.1900 |         391.784037559 |
| 20160701-20170502 | GSJ.MC   |           1 | bonanza_1617              |     20160701 |        0.7900 |  20170502 |     3.3000 |         317.721518987 |
| 20160701-20170502 | XBRPO.MC |           1 | bonanza_1617              |     20160701 |        1.5280 |  20170502 |     5.1500 |         237.041884817 |
| 20160701-20170502 | AMP.MC   |           1 | bonanza_1617              |     20160701 |        0.0800 |  20170502 |     0.2450 |         206.250000000 |
| 20160701-20170502 | ECR.MC   |           1 | bonanza_1617              |     20160701 |        1.0800 |  20170502 |     2.6910 |         149.166666667 |
| 20160701-20170502 | XEKT.MC  |           1 | bonanza_1617              |     20160701 |       12.5750 |  20170502 |    31.1500 |         147.713717694 |
| 20160701-20170502 | MAS.MC   |           1 | bonanza_1617              |     20160701 |       19.8200 |  20170502 |    47.8700 |         141.523713421 |
| 20160701-20170502 | XBRK.MC  |           1 | bonanza_1617              |     20160701 |        4.3010 |  20170502 |    10.1350 |         135.642873750 |
